site_id,intersection,site_location,warnings,citations,number_of_approaches,sensor_type
PI033,Roosevelt Blvd @ Levick St,S/B Roosevelt Blvd @ Levick St,06/06/2007 12:00:00 AM,08/05/2007 12:00:00 AM,5,PLP
PI034,Roosevelt Blvd @ Levick St,W/B Levick St @ Roosevelt Blvd,06/06/2007 12:00:00 AM,08/05/2007 12:00:00 AM,5,PLP
PI035,Roosevelt Blvd @ Rhawn St,N/B Roosevelt Blvd Svc @ Rhawn St,06/06/2007 12:00:00 AM,08/05/2007 12:00:00 AM,6,PLP
PI036,Roosevelt Blvd @ Rhawn St,N/B Roosevelt Blvd @ Rhawn St ,06/06/2007 12:00:00 AM,08/05/2007 12:00:00 AM,6,PLP
PI037,Roosevelt Blvd @ Rhawn St,E/B Rhawn St @ Roosevelt Blvd,06/06/2007 12:00:00 AM,08/05/2007 12:00:00 AM,6,PLP
PI038,Roosevelt Blvd @ Rhawn St,S/B Roosevelt Blvd Svc @ Rhawn St,06/06/2007 12:00:00 AM,08/05/2007 12:00:00 AM,6,PLP
PI039,Roosevelt Blvd @ Rhawn St,S/B Roosevelt Blvd @ Rhawn St ,06/06/2007 12:00:00 AM,08/05/2007 12:00:00 AM,6,PLP
PI040,Roosevelt Blvd @ Rhawn St,W/B Rhawn St @ Roosevelt Blvd,06/06/2007 12:00:00 AM,08/05/2007 12:00:00 AM,6,PLP
PI041,Roosevelt Blvd @ Welsh Rd,N/B Roosevelt Blvd Svc @ Welsh Rd,06/06/2007 12:00:00 AM,08/05/2007 12:00:00 AM,6,PLP
PI042,Roosevelt Blvd @ Welsh Rd,N/B Roosevelt Blvd @ Welsh Rd ,06/06/2007 12:00:00 AM,08/05/2007 12:00:00 AM,6,PLP
PI043,Roosevelt Blvd @ Welsh Rd,E/B Welsh Rd @ Roosevelt Blvd,06/06/2007 12:00:00 AM,08/05/2007 12:00:00 AM,6,PLP
PI044,Roosevelt Blvd @ Welsh Rd,S/B Roosevelt Blvd Svc @ Welsh Rd,06/06/2007 12:00:00 AM,08/05/2007 12:00:00 AM,6,PLP
PI045,Roosevelt Blvd @ Welsh Rd,S/B Roosevelt Blvd @ Welsh Rd ,06/06/2007 12:00:00 AM,08/05/2007 12:00:00 AM,6,PLP
PI046,Roosevelt Blvd @ Welsh Rd,W/B Welsh Rd @ Roosevelt Blvd,06/06/2007 12:00:00 AM,08/05/2007 12:00:00 AM,6,PLP
PI047,Roosevelt Blvd @ Southampton Rd,N/B Roosevelt Blvd Svc @ Southampton Rd,06/06/2007 12:00:00 AM,08/05/2007 12:00:00 AM,6,PLP
PI048,Roosevelt Blvd @ Southampton Rd,N/B Roosevelt Blvd @  Southampton Rd,06/06/2007 12:00:00 AM,08/05/2007 12:00:00 AM,6,PLP
PI049,Roosevelt Blvd @ Southampton Rd,E/B Southampton Rd @ Roosevelt Blvd,06/06/2007 12:00:00 AM,08/05/2007 12:00:00 AM,6,PLP
PI050,Roosevelt Blvd @ Southampton Rd,S/B Roosevelt Blvd Svc @ Southampton Rd,06/06/2007 12:00:00 AM,08/05/2007 12:00:00 AM,6,PLP
PI051,Roosevelt Blvd @ Southampton Rd,S/B Roosevelt Blvd @ Southampton Rd ,06/06/2007 12:00:00 AM,08/05/2007 12:00:00 AM,6,PLP
PI052,Roosevelt Blvd @ Southampton Rd,W/B Southampton Rd @ Roosevelt Blvd,06/06/2007 12:00:00 AM,08/05/2007 12:00:00 AM,6,PLP
PI053,Roosevelt Blvd @ 9th St,NB 9th St - NB @ Roosevelt Blvd,11/08/2008 12:00:00 AM,01/07/2009 12:00:00 AM,6,PLP
PI054,Roosevelt Blvd @ 9th St,SB 9th St - SB @ Roosevelt Blvd,11/08/2008 12:00:00 AM,01/07/2009 12:00:00 AM,6,PLP
PI055,Roosevelt Blvd @ 9th St,EB Roosevelt Blvd - EB @ 9th St,11/08/2008 12:00:00 AM,01/07/2009 12:00:00 AM,6,PLP
PI056,Roosevelt Blvd @ 9th St,EB Roosevelt Blvd Svc Rd - EB @ 9th St,11/08/2008 12:00:00 AM,01/07/2009 12:00:00 AM,6,PLP
PI057,Roosevelt Blvd @ 9th St,WB Roosevelt Blvd - WB @ 9th St,11/08/2008 12:00:00 AM,01/07/2009 12:00:00 AM,6,PLP
PI058,Roosevelt Blvd @ 9th St,WB Roosevelt Blvd Svc Rd - WB @ 9th St,11/08/2008 12:00:00 AM,01/07/2009 12:00:00 AM,6,PLP
PI059,Broad St @ Hunting Park AveOregon Ave,NB N Broad St - NB @ W Hunting Park Ave,11/08/2008 12:00:00 AM,01/07/2009 12:00:00 AM,4,PLP
PI060,Broad St @ Hunting Park AveOregon Ave,N Broad St - SB @ W Hunting Park Ave,11/08/2008 12:00:00 AM,01/07/2009 12:00:00 AM,4,PLP
PI061,Broad St @ Hunting Park AveOregon Ave,EB W Hunting Park Ave - EB @ N Broad St,11/08/2008 12:00:00 AM,01/07/2009 12:00:00 AM,4,PLP
PI062,Broad St @ Hunting Park AveOregon Ave,WB W Hunting Park Ave - WB @ N Broad St,11/08/2008 12:00:00 AM,01/07/2009 12:00:00 AM,4,PLP
PI063,58th St @ Walnut St,NB S 58th St - NB @ Walnut St,11/08/2008 12:00:00 AM,01/07/2009 12:00:00 AM,2,PLP
PI064,59th St @ Walnut St,WB Walnut St - WB @ S 58th St,11/08/2008 12:00:00 AM,01/07/2009 12:00:00 AM,2,PLP
PI065,City Hall ,NB S Broad St @ S Penn Square,10/09/2009 12:00:00 AM,12/08/2009 12:00:00 AM,4,PLP
PI066,City Hall ,EB S Penn Square @ S Broad St,10/09/2009 12:00:00 AM,12/08/2009 12:00:00 AM,4,PLP
PI067,City Hall ,EB S Penn Square (Right Turns) @ S Broad St,10/09/2009 12:00:00 AM,12/08/2009 12:00:00 AM,4,PLP
PI068,City Hall ,SB N Broad St @ N Penn Square/JFK Blvd,10/09/2009 12:00:00 AM,12/08/2009 12:00:00 AM,4,PLP
PI069,City Hall ,WB John F Kennedy Blvd @ N Broad St,10/09/2009 12:00:00 AM,12/08/2009 12:00:00 AM,4,PLP
PI070,City Hall ,WB John F Kennedy Blvd ( Right Turns) @ N Broad St,10/09/2009 12:00:00 AM,12/08/2009 12:00:00 AM,4,PLP
PI071,Rising Sun Ave @ Adams Ave,NB Rising Sun Ave @ Adams Ave,09/13/2010 12:00:00 AM,11/12/2010 12:00:00 AM,4,WVD
PI072,Rising Sun Ave @ Adams Ave,SB Rising Sun Ave @ Adams Ave,09/13/2010 12:00:00 AM,11/12/2010 12:00:00 AM,4,WVD
PI073,Rising Sun Ave @ Adams Ave,EB Adams Ave @ Rising Sun Ave,09/13/2010 12:00:00 AM,11/12/2010 12:00:00 AM,4,WVD
PI074,Rising Sun Ave @ Adams Ave,WB Adams Ave @ Rising Sun Ave,09/13/2010 12:00:00 AM,11/12/2010 12:00:00 AM,4,WVD
PI075,Aramingo Ave @ Castor Ave,WB Castor Ave @ Aramingo Ave,01/01/2011 12:00:00 AM,06/16/2011 12:00:00 AM,4,PLP
PI076,Aramingo Ave @ Castor Ave,EB Castor Ave @ Aramingo Ave,01/01/2011 12:00:00 AM,06/16/2011 12:00:00 AM,4,PLP
PI077,Aramingo Ave @ Castor Ave,NB Aramingo Ave @ Castor Ave,01/01/2011 12:00:00 AM,12/02/2011 12:00:00 AM,4,PLP
PI078,Aramingo Ave @ Castor Ave,SB Aramingo Ave @ Castor Ave,01/01/2011 12:00:00 AM,12/09/2011 12:00:00 AM,4,PLP
PI079,Aramingo Ave @ York St,NB Aramingo Ave @ E York St,01/01/2011 12:00:00 AM,05/18/2011 12:00:00 AM,3,PLP
PI080,Aramingo Ave @ York St,SB Aramingo Ave @ E York St,01/01/2011 12:00:00 AM,05/18/2011 12:00:00 AM,3,PLP
PI081,Aramingo Ave @ York St,EB E York St @ Aramingo Ave,01/01/2011 12:00:00 AM,05/18/2011 12:00:00 AM,3,PLP
PI082,Henry Ave @ Walnut Ln,NB Henry Ave @ Walnut Ln,09/13/2010 12:00:00 AM,11/12/2010 12:00:00 AM,4,PLP
PI083,Henry Ave @ Walnut Ln,SB Henry Ave @ Walnut Ln,09/13/2010 12:00:00 AM,11/12/2010 12:00:00 AM,4,PLP
PI084,Henry Ave @ Walnut Ln,EB Walnut Ln @ Henry Ave,09/13/2010 12:00:00 AM,11/12/2010 12:00:00 AM,4,PLP
PI085,Henry Ave @ Walnut Ln,WB Walnut Ln @ Henry Ave,09/13/2010 12:00:00 AM,11/12/2010 12:00:00 AM,4,PLP
PI086,Broad St @ Vine St,NB N Broad St (South Side) @ Vine St,10/03/2011 12:00:00 AM,12/02/2011 12:00:00 AM,4,PLP
PI087,Broad St @ Vine St,SB N Broad St (North Side) @ Vine St,10/03/2011 12:00:00 AM,12/02/2011 12:00:00 AM,4,PLP
PI088,Broad St @ Vine St,EB Vine St (Camera A) @ N Broad St (South Side),10/03/2011 12:00:00 AM,12/02/2011 12:00:00 AM,4,PLP
PI089,Broad St @ Vine St,EB Vine St (Camera B) @ N Broad St (South Side),10/03/2011 12:00:00 AM,12/02/2011 12:00:00 AM,4,PLP
PI090,Broad St @ Vine St,WB Vine St @ N Broad St (North Side),10/03/2011 12:00:00 AM,12/02/2011 12:00:00 AM,4,PLP
PI091,Island Ave @ Lindbergh Blvd,NB Island Ave @ Lindbergh Blvd,12/13/2011 12:00:00 AM,02/11/2012 12:00:00 AM,6,PLP
PI092,Island Ave @ Lindbergh Blvd,NB Island Ave Service Rd @ Lindbergh Blvd,12/13/2011 12:00:00 AM,02/11/2012 12:00:00 AM,6,PLP
PI093,Island Ave @ Lindbergh Blvd,SB Island Ave @ Lindbergh Blvd,12/13/2011 12:00:00 AM,02/11/2012 12:00:00 AM,6,PLP
PI094,Island Ave @ Lindbergh Blvd,SB Island Ave Service Rd @ Lindbergh Blvd,12/13/2011 12:00:00 AM,02/11/2012 12:00:00 AM,6,PLP
PI095,Island Ave @ Lindbergh Blvd,EB Lindbergh Blvd @ Island Ave,12/13/2011 12:00:00 AM,02/11/2012 12:00:00 AM,6,PLP
PI096,Island Ave @ Lindbergh Blvd,WB Lindbergh Blvd @ Island Ave,12/13/2011 12:00:00 AM,02/11/2012 12:00:00 AM,6,PLP
PI097,Academy Rd @ Grant Ave,NB Academy Rd @ Grant Ave,10/19/2012 12:00:00 AM,12/18/2012 12:00:00 AM,4,WVD
PI098,Academy Rd @ Grant Ave,SB Academy Rd @ Grant Ave,10/19/2012 12:00:00 AM,12/18/2012 12:00:00 AM,4,WVD
PI099,Academy Rd @ Grant Ave,EB Grant Ave @ Academy Rd,10/19/2012 12:00:00 AM,12/18/2012 12:00:00 AM,4,WVD
PI100,Academy Rd @ Grant Ave,WB Academy Rd @ Grant Ave,10/19/2012 12:00:00 AM,12/18/2012 12:00:00 AM,4,WVD
PI101,Bustleton Ave @ Byberry Rd,NB Bustleton Ave @ Byberry Rd,10/19/2012 12:00:00 AM,12/18/2012 12:00:00 AM,4,WVD
PI102,Bustleton Ave @ Byberry Rd,SB Bustleton Ave @ Byberry Rd ,10/19/2012 12:00:00 AM,12/18/2012 12:00:00 AM,4,WVD
PI103,Bustleton Ave @ Byberry Rd,EB Byberry Rd @ Bustleton Ave,10/19/2012 12:00:00 AM,12/18/2012 12:00:00 AM,4,WVD
PI104,Bustleton Ave @ Byberry Rd,WB Byberry Rd @ Bustleton Ave,10/19/2012 12:00:00 AM,12/18/2012 12:00:00 AM,4,WVD
PI105,Knights Rd @ Woodhaven Rd,NB Knights Rd (SW Side) @ Woodhaven Rd,10/19/2012 12:00:00 AM,12/18/2012 12:00:00 AM,4,WVD
PI106,Knights Rd @ Woodhaven Rd,SB Knights Rd (NE Side) @ Woodhaven Rd,10/19/2012 12:00:00 AM,12/18/2012 12:00:00 AM,4,WVD
PI107,Knights Rd @ Woodhaven Rd,EB Woodhaven Rd @ Knights Rd (SW Side),10/19/2012 12:00:00 AM,12/18/2012 12:00:00 AM,4,WVD
PI108,Knights Rd @ Woodhaven Rd,WB Woodhaven Rd @ Knights Rd (NE Side),10/19/2012 12:00:00 AM,12/18/2012 12:00:00 AM,4,WVD
